Language_ID	Parameter_ID	Form
rus	3-13	самка
fra	3-15	bétail, bestiaux
spa	3-15	ganado
deu	3-15	Vieh
rus	3-15	(домашний) скот
fra	3-16	pâturage, pâture
spa	3-16	pradera, potrero
deu	3-16	Weide
rus	3-16	пастбище, выгон
fra	3-18	berger
spa	3-18	pastor
deu	3-18	Hirte
rus	3-18	пастух
fra	3-19	étable
spa	3-19	establo
deu	3-19	Stall
rus	3-19	конюшня, стойло
fra	3-2	grand bétail, bœuf
spa	3-2	ganado
deu	3-2	Rind
rus	3-2	крупный рогатый скот
fra	3-21	taureau
spa	3-21	toro
deu	3-21	Stier oder Bulle
rus	3-21	бык
fra	3-22	boeuf
spa	3-22	buey
deu	3-22	Ochse
rus	3-22	вол
fra	3-23	vache
spa	3-23	vaca
deu	3-23	Kuh
rus	3-23	корова
fra	3-24	veau
spa	3-24	becerro,ternero
deu	3-24	Kalb
rus	3-24	теленок
fra	3-25	mouton
spa	3-25	oveja
deu	3-25	Schaf
rus	3-25	овца, баран
fra	3-26	bélier
spa	3-26	carnero, morueco
deu	3-26	Widder oder Schafbock
rus	3-26	баран
fra	3-28	brebis
spa	3-28	oveja
deu	3-28	Mutterschaf
rus	3-28	овца
fra	3-29	agneau
spa	3-29	borrego, cordero
deu	3-29	Lamm
rus	3-29	ягненок
fra	3-32	sanglier
spa	3-32	jabalí
deu	3-32	Wildschwein
rus	3-32	кабан
fra	3-34	truie
spa	3-34	puerca, cochina, cerda
deu	3-34	Sau
rus	3-34	свинья, свиноматка
fra	3-35	cochon, porc
spa	3-35	cerdo, puerco
deu	3-35	Schwein
rus	3-35	свинья
fra	3-36	chèvre
spa	3-36	cabra
deu	3-36	Ziege
rus	3-36	коза
fra	3-37	bouc
spa	3-37	chivo
deu	3-37	Ziegenbock
rus	3-37	козел
fra	3-38	chevreau
spa	3-38	cabrito
deu	3-38	Zicklein
rus	3-38	козленок
fra	3-41	cheval
spa	3-41	caballo
deu	3-41	Pferd
rus	3-41	лошадь, конь
fra	3-42	étalon
spa	3-42	caballo padre,semental
deu	3-42	Hengst
rus	3-42	жеребец
fra	3-44	jument
spa	3-44	yegua
deu	3-44	Stute
rus	3-44	кобыла
fra	3-45	poulain
spa	3-45	potrillo
deu	3-45	Fohlen
rus	3-45	жеребенок
fra	3-46	âne
spa	3-46	asno,burro
deu	3-46	Esel
rus	3-46	осел
fra	3-47	mulet
spa	3-47	mulo
deu	3-47	Maultier
rus	3-47	мул
fra	3-5	poule
spa	3-5	ave
deu	3-5	Geflügel
rus	3-5	домашняя птица
fra	3-52	coq
spa	3-52	gallo
deu	3-52	Hahn
rus	3-52	петух
fra	3-54	poule
spa	3-54	gallina
deu	3-54	Henne
rus	3-54	курица
fra	3-55	poulet
spa	3-55	pollo
deu	3-55	Huhn
rus	3-55	цыпленок
fra	3-56	oie
spa	3-56	ganso
deu	3-56	Gans
rus	3-56	гусь
fra	3-57	canard
spa	3-57	pato
deu	3-57	Ente
rus	3-57	утка
fra	3-58	nid
spa	3-58	nido
deu	3-58	Nest
rus	3-58	гнездо
fra	3-581	oiseau
spa	3-581	pájaro
deu	3-581	Vogel
rus	3-581	птица
fra	3-582	mouette
spa	3-582	gaviota
deu	3-582	Möwe
rus	3-582	чайка
fra	3-583	héron
spa	3-583	garza
deu	3-583	Reiher
rus	3-583	цапля
fra	3-584	aigle
spa	3-584	águila
deu	3-584	Adler
rus	3-584	орел
fra	3-585	faucon
spa	3-585	gavilán, halcón
deu	3-585	Habicht oder Sperber
rus	3-585	ястреб, сокол
fra	3-586	vautour
spa	3-586	buitre
deu	3-586	Geier
rus	3-586	гриф
fra	3-591	chauve-souris
spa	3-591	murciélago
deu	3-591	Fledermaus
rus	3-591	летучая мышь
fra	3-592	perroquet
spa	3-592	loro
deu	3-592	Papagei
rus	3-592	попугай
fra	3-593	corbeau
spa	3-593	cuervo
deu	3-593	Krähe
rus	3-593	ворона
fra	3-594	colombe
spa	3-594	paloma
deu	3-594	Taube
rus	3-594	голубь, голубка
fra	3-596	hibou
spa	3-596	lechuza, buho
deu	3-596	Eule
rus	3-596	сова, филин
fra	3-61	chien
spa	3-61	perro
deu	3-61	Hund
rus	3-61	собака, пес
fra	3-614	lapin
spa	3-614	conejo
deu	3-614	Kaninchen
rus	3-614	заяц (+ кролик)
fra	3-62	chat
spa	3-62	gato
deu	3-62	Katze
rus	3-62	кот
fra	3-622	opossum
spa	3-622	zarigüeya, tlacuache, comadreja, zorra mochilera
deu	3-622	Opossum (Beutelratte)
rus	3-622	опоссум
fra	3-63	souris, rat
spa	3-63	ratón, rata
deu	3-63	Maus oder Ratte
rus	3-63	мышь, крыса
fra	3-65	poisson
spa	3-65	pez, pescado
deu	3-65	Fisch
rus	3-65	рыба
fra	3-652	nageoire
spa	3-652	aleta
deu	3-652	Flosse
rus	3-652	плавник
fra	3-653	écaille
spa	3-653	escama
deu	3-653	Schuppe
rus	3-653	чешуя
fra	3-654	ouïes
spa	3-654	agalla
deu	3-654	Kieme
rus	3-654	жабры
fra	3-655	coquille, coquillage
spa	3-655	valva
deu	3-655	Muschel(schale)
rus	3-655	ракушка
fra	3-661	requin
spa	3-661	tiburón
deu	3-661	Hai
rus	3-661	акула
fra	3-663	baleine
spa	3-663	ballena
deu	3-663	Wal
rus	3-663	кит
fra	3-664	raie
spa	3-664	raya, pastinaca
deu	3-664	Rochen
rus	3-664	скат, морской кот
fra	3-665	anguille d'eau douce
spa	3-665	anguila de agua dulce
deu	3-665	Flussaal
rus	3-665	пресноводный угорь
fra	3-71	loup
spa	3-71	lobo
deu	3-71	Wolf
rus	3-71	волк
fra	3-72	lion
spa	3-72	león
deu	3-72	Löwe
rus	3-72	лев
fra	3-73	ours
spa	3-73	oso
deu	3-73	Bär
rus	3-73	медведь
fra	3-74	renard
spa	3-74	zorro
deu	3-74	Fuchs
rus	3-74	лиса, лисица
fra	3-75	daim, cerf, chevreuil
spa	3-75	venado
deu	3-75	Hirsch
rus	3-75	олень, лань
fra	3-76	singe
spa	3-76	mono
deu	3-76	Affe
rus	3-76	обезъяна
fra	3-77	éléphant
spa	3-77	elefante
deu	3-77	Elefant
rus	3-77	слон
fra	3-78	chameau
spa	3-78	camello
deu	3-78	Kamel
rus	3-78	верблpд
fra	3-81	insecte
spa	3-81	insecto
deu	3-81	Insekt
rus	3-81	насекомое
fra	3-811	pou
spa	3-811	piojo
deu	3-811	Kopflaus
rus	3-811	вошь
fra	3-812	lente
spa	3-812	liendre
deu	3-812	Nisse
rus	3-812	гнида
fra	3-813	puce
spa	3-813	pulga
deu	3-813	Floh
rus	3-813	блоха
fra	3-814	mille-pattes
spa	3-814	ciempiés
deu	3-814	Tausendfüßler
rus	3-814	многоножка, сороконожка
fra	3-815	scorpion
spa	3-815	alacrán
deu	3-815	Skorpion
rus	3-815	скорпион
fra	3-816	cafard, cancrelat
spa	3-816	cucaracha
deu	3-816	Kakerlak(e), Schabe
rus	3-816	таракан
fra	3-817	fourmi
spa	3-817	hormiga
deu	3-817	Ameise
rus	3-817	муравей
fra	3-818	araignée
spa	3-818	araña
deu	3-818	Spinne
rus	3-818	паук
fra	3-819	toile d'araignée
spa	3-819	telaraña
deu	3-819	Spinnennetz, Spinnwebe
rus	3-819	паутина
fra	3-82	abeille
spa	3-82	abeja
deu	3-82	Biene
rus	3-82	пчела
fra	3-821	cire d'abeille
spa	3-821	cera de abeja
deu	3-821	Bienenwachs
rus	3-821	воск
fra	3-822	ruche
spa	3-822	colmena
deu	3-822	Bienenstock, Bienenkorb
rus	3-822	улей
fra	3-823	guêpe
spa	3-823	avispa
deu	3-823	Wespe
rus	3-823	оса
fra	3-83	mouche
spa	3-83	mosca
deu	3-83	Fliege
rus	3-83	муха
fra	3-831	moucheron
spa	3-831	jején
deu	3-831	Gnitze
rus	3-831	мошкар, мошкара
fra	3-832	moustique
spa	3-832	mosquito
deu	3-832	Mücke
rus	3-832	комар
fra	3-84	ver de terre
spa	3-84	lombriz, gusano
deu	3-84	Wurm
rus	3-84	червяк, червь
fra	3-85	serpent
spa	3-85	culebra,serpiente
deu	3-85	Schlange
rus	3-85	змея
fra	3-91	verluisant, luciole
spa	3-91	luciérnaga
deu	3-91	Glühwürmchen
rus	3-91	светляк, светлячок
fra	3-92	papillon
spa	3-92	mariposa
deu	3-92	Schmetterling
rus	3-92	бабочка
fra	3-93	sauterelle
spa	3-93	saltamontes
deu	3-93	Heuschrecke, Grashüpfer
rus	3-93	кузнечик
fra	3-94	escargot
spa	3-94	caracol
deu	3-94	Schnecke
rus	3-94	улитка
fra	3-95	grenouille
spa	3-95	rana
deu	3-95	Frosch
rus	3-95	лягушка
fra	3-96	lézard
spa	3-96	lagartija
deu	3-96	Eidechse
rus	3-96	ящерица
fra	3-97	crocodile, alligator
spa	3-97	cocodrilo, caimán
deu	3-97	Krokodil
rus	3-97	крокодил
fra	3-98	tortue
spa	3-98	tortuga
deu	3-98	Schildkröte
rus	3-98	черепаха
fra	4-11	corps
spa	4-11	cuerpo
deu	4-11	Körper
rus	4-11	тело
fra	4-12	peau, pelage
spa	4-12	piel, cutis,pellejo
deu	4-12	Haut oder Fell
rus	4-12	кожа, шкура
fra	4-13	chair
spa	4-13	carne
deu	4-13	Fleisch
rus	4-13	тело, плоть
fra	4-14	cheveu
spa	4-14	cabello, pelo
deu	4-14	Haar
rus	4-14	волос (на голове)
fra	4-142	barbe
spa	4-142	barba
deu	4-142	Bart
rus	4-142	борода
fra	4-144	poil
spa	4-144	vello (del cuerpo)
deu	4-144	Körperhaar, Körperbehaarung
rus	4-144	волос (на теле)
fra	4-145	poil pubien
spa	4-145	pelo púbico
deu	4-145	Schamhaar
rus	4-145	волос (лобковый)
fra	4-146	pellicules
spa	4-146	caspa
deu	4-146	Schuppen
rus	4-146	перхоть
fra	4-15	sang
spa	4-15	sangre
deu	4-15	Blut
rus	4-15	кровь
fra	4-151	veine, artère
spa	4-151	vena, arteria
deu	4-151	Ader, Vene, Arterie
rus	4-151	вена, артерия
fra	4-16	os
spa	4-16	hueso
deu	4-16	Knochen
rus	4-16	кость
fra	4-162	côte
spa	4-162	costilla
deu	4-162	Rippe
rus	4-162	ребро
fra	4-17	corne
spa	4-17	cuerno
deu	4-17	Horn
rus	4-17	рог
fra	4-18	queue
spa	4-18	cola
deu	4-18	Schwanz
rus	4-18	хвост
fra	4-19	dos
spa	4-19	espalda
deu	4-19	Rücken
rus	4-19	спина
fra	4-191	épine dorsale
spa	4-191	espinazo, espina dorsal
deu	4-191	Wirbelsäule, Rückgrat
rus	4-191	спинной хребет, позвоночник
fra	4-2	tête
spa	4-2	cabeza
deu	4-2	Kopf
rus	4-2	голова
fra	4-201	tempes
spa	4-201	sien
deu	4-201	Schläfen
rus	4-201	висок
fra	4-202	crâne
spa	4-202	cráneo, calavera
deu	4-202	Schädel
rus	4-202	череп
fra	4-203	cerveau
spa	4-203	cerebro, sesos
deu	4-203	Gehirn, Hirn
rus	4-203	мозг(и)
fra	4-204	visage
spa	4-204	cara
deu	4-204	Gesicht
rus	4-204	лицо
fra	4-205	front
spa	4-205	frente
deu	4-205	Stirn
rus	4-205	лоб
fra	4-207	machoire
spa	4-207	mandíbula
deu	4-207	Kiefer, Kinnbacken
rus	4-207	челюсть
fra	4-208	joue
spa	4-208	mejilla
deu	4-208	Wange
rus	4-208	щека
fra	4-209	menton
spa	4-209	mentón
deu	4-209	Kinn
rus	4-209	подбородок
fra	4-21	oeil
spa	4-21	ojo
deu	4-21	Auge
rus	4-21	глаз
fra	4-212	sourcil
spa	4-212	ceja
deu	4-212	(Augen)Braue
rus	4-212	бровь
fra	4-213	paupière
spa	4-213	párpado
deu	4-213	(Augen)Lid
rus	4-213	веко
fra	4-214	cil
spa	4-214	pestaña
deu	4-214	Wimper
rus	4-214	ресница
fra	4-215	cligner des yeux
spa	4-215	parpadear
deu	4-215	blinzeln, zwinkern
rus	4-215	мигать
fra	4-22	oreille
spa	4-22	oreja
deu	4-22	Ohr
rus	4-22	ухо
fra	4-221	lobe de l'oreille
spa	4-221	lóbulo (de oreja)
deu	4-221	Ohrläppchen
rus	4-221	мочка уха
fra	4-222	cèrumen, cire d'oreille
spa	4-222	cerumen
deu	4-222	Ohrenschmalz
rus	4-222	ушная сера
fra	4-23	nez
spa	4-23	nariz
deu	4-23	Nase
rus	4-23	нос
fra	4-231	narine
spa	4-231	ventana de la nariz
deu	4-231	Nasenloch, Nüster (horse)
rus	4-231	ноздря
fra	4-232	morve, mucus
spa	4-232	moco
deu	4-232	Rotz, Nasenschleim
rus	4-232	слизь, сопля
fra	4-24	bouche
spa	4-24	boca
deu	4-24	Mund
rus	4-24	рот
fra	4-241	bec
