number	level	category	English	Deutsch	Nederlands	Italiano	Esperanto	Novial	Lingwa de Planeta	Sambahsa	Русский
174	0	Adposition	for (to benefit; destined for; for the purpose of) [pr]	für	voor, ten behoeve van	per	por	por	fo	pro	для
175	1	Adposition	for (in exchange for) [pr]	für, in austausch für	voor	per	por, kontraŭ	po	pur	po	за, в обмен на
176	1	Adposition	instead of, rather than [pr]	anstatt	in plaats van	invece di, più di	anstataŭ	insted	inplas	vice	вместо
177	1	Adposition	like, similar to [pr]	wie, gleich	als, gelijk an	come	simila al	simil ad, samiman kam			
178	0	Adposition	of (belonging to; associated with; = genitive) [pr]	von, [Genitiv]	van	di	de	de			
179	1	Adposition	"of (containing the measured quantity: ""two liters of water"") [pr]"	von	met	di	da	de			
180	0	Adposition	than, compared to [pr/cj]	als, im Vergleich zu	dan	di	ol [cj]	kam			
201	0	Function word	"be (predicative copula as in ""I am a man"") [v]"	sein	zijn	essere	esti	es	bi (bin, es, ve bi)	es	
202	0	Function word	exist [v]	existieren	bestaan	esserci, esistere	ekzisti	exist	existi	exist	существовать
203	0	Function word	become (begin to be; acquire the quality...) [v]	werden	worden	diventare	iĝi	deveni	fa-	bih	становиться
204	0	Function word	cause (induce something to be/happen) [v]	verursachen	veroorzaken	fare, causare	kaŭzi	fika	kausi	cause	вызывать, причинять
205	0	Function word	"make, render (impart quality X to Y; e.g. ""I make you happy"") [v]"	machen	maken	fare, rendere	igi	fika	mah	-eih (suffix)	cделать (каким-либо), привести в какое-либо состояние
206	0	Function word	do, perform, engage in (specified activity) [v]	machen, tun	doen	fare	fari	fa	zwo	kwehr	делать
207	0	Function word	have (possess / be furnished with) [v]	haben	hebben, bezitten	avere	havi, posedi	have	hev	hab	иметь
208	0	Function word	can (is/are able to ...) [aux v]	können	kunnen	potere	povas	pove	mog	ghehd	мочь
209	0	Function word	should, ought to (is/are expected/advised to ...) [aux v]	sollen	moeten, behoren, horen	dovere	devus	deve	gai	dehlgiet, solliet	следует, полагается
220	0	Function word	this (demonstrative) [aj/pn]	diese [f], dieser [m], dieses [nt]	deze [masc/fem], dit [nt]	questo	ĉi tiu	disi [aj], diso, -a, -e [pn]	sey	tod	этот
221	0	Function word	that (demonstrative) [aj/pn]	das	dat [nt], die [f/m]	quello	tiu	ti [aj], to, ta, te [pn]	toy	cid (cio)	тот
222	1	Function word	any (no particular one of) [aj]	irgendeiner	enig, ieder	tutti	ajna, iu ajn	irgi	eni	quodquid	любой, какой бы то ни было
223	1	Function word	each, every [aj]	jeder	ieder, elk	ogni	ĉiu	chaki	kada	cada ; ielg	каждый
224	1	Function word	what? (which thing out of several?), which? [aj]	was, welch	wat, welke	che, quale	kio, kiu				
225	0	Function word	no (not any; not even one of) [aj]								
230	0	Function word	and [cj]	und	en	e	kaj	e	e	ed	и
231	1	Function word	but, however [cj]	aber, jedoch	maar	ma	sed	ma	bat	bet	но
232	0	Function word	if (on condition that...; supposing that...) [cj]	wenn, falls	als, indien	se	se	si	si	sei	если
233	0	Function word	or [cj]	oder	of	o, oppure	aŭ	o	o (oda)	au	или
234	1	Function word	"that (e.g. ""I know that you are right"") [cj]"	dass	dat	che	ke	ke	ke	od	что (относит.)
240	1	Function word	also, too [av]	auch	ook	anche	ankaŭ	anke	toshi	yaschi	тоже
241	1	Function word	maybe, perhaps [av]	vielleicht	misschien, mogelijk	forse	eble	forsan, poves			
242	0	Function word	not [av]	nicht	niet	non	ne	non	bu	ne	не
243	1	Function word	"only (exclusively or ""solitarily""), solely [av]"	nur	alleen	solo, solamente	sole	solim	sol	tik	только
250	1	Function word	here (in/to this place) [av]	hier	hier	qui	ĉi tie, ĉi tien	hir, dislok	hir, ahir	her, hetro	здесь, сюда
251	1	Function word	there (at/to that place) [av]	da, dort	daar	là	tie, tien	dar, tilok	dar, adar	ter, tetro	там, туда
252	1	Function word	where? (at/to what place?) [av]	wo	waar	dove	kie, kien	vor	wo	quer	где
260	1	Function word	how? (in what manner?) [av]	wie	hoe	come	kiel		komo	kam	как
261	1	Function word	when? (at what time?) [av]	wann	wanneer	quando	kiam	quand	wen	quan(do)	когда
262	1	Function word	why? (for what reason?) [av]	warum, wieso, weshalb	waarom	perchè	kial	pro quum {?}	way	ma	почему
270	2	Function word	san (honorific さん in Japanese; no English equivalent)	[no equivalent]	[no equivalent]	[no equivalent]	[no equivalent]	[no equivalent]			
271	2	Function word	Mister, Mr.	Herr	meneer	Sig.	sinjoro	Sinioro	sinior	poti	господин
272	2	Function word	Ms., Miss/Mrs.	[no equivalent]	[no equivalent]	[no equivalent]	[no equivalent]	[no equivalent]			
273	2	Function word	Miss	Fraülein, Frau (many women prefer the more neutral 'Frau')	juffrouw	Sig.na	fraŭlino	Damsela, Siniorina	mis	potnika	барышня
274	2	Function word	Mrs.	Frau	Mevrouw	Sig.ra	sinjorino	Siniora	madam	potnia	госпожа
280	0	Function word	"that (relative, as in ""study the language that appeals to you"") [cj]"	der, die, das	die, dat	che	kiu [nom.sing], kiuj [nom.plur], kiun [acc.sing], kiujn [acc.plur]	kel	ke	od	что (относит.)
281	0	Function word	I (nom), me (acc) [pr]	ich [nom], mich [acc], mir [dat]	ik, mij	io, mi, me	mi [nom], min [acc]	me			
282	0	Function word	you (singular) [pr]	du [nom.plain], dich [acc.plain], dir [dat.plain], Sie [polite]	jij, je [plain], u [polite]	tu [nom.plain], lei [polite]	vi [nom], vin [acc]	vu			
301	1	People	human being, person (any living member of Homo sapiens)	Mensch, Person	mens	persona, essere umano	homo	home	jen	anghen	человек
303	1	People	baby	Kind, Baby	zuigeling	bambino	bebo	infante (-o, -a)	bebi	baby	дитя
305	1	People	child	Kind	kind	bambino	infano		kinda	magv	ребёнок
307	1	People	boy	Junge	jongen	ragazzo	knabo	puero	boy	pwarn	мальчик
309	1	People	girl	Mädchen	meisje	ragazza	knabino	puera	gela	pieg	девочка
312	2	People	adult	Erwachsene [f], Erwachsener [m]	volwassene	adulto	plenkreskulo				
314	1	People	man (adult male person)	Mann	man	uomo, maschio	viro	homo	man	wir	мужчина
316	1	People	woman (adult female person)	Frau	vrouw	donna, femmina	virino	homa, fema	gina	gwen(a)	женщина
320	2	People	family	Familie	familie	famiglia	familio	familie	familia	familia	семья
322	1	People	father	Vater	vader	padre	patro	patro	patra (papa)	pater	отец (папа)
324	1	People	mother	Mutter	moeder	madre	patrino	matra	mata (mama)	mater	мать (мама)
330	2	People	grandfather	Großvater	grootvader	nonno	avo		opa	grandpater	дедушка
335	2	People	grandmother	Großmutter	grootmoeder	nonna	avino		oma	grandmater	бабушка
340	2	People	uncle	Onkel	oom	zio	onklo				
345	2	People	aunt	Tante	tante	zia	onklino				
350	2	People	son	Sohn	zoon	figlio	filo	filio	son	son	сын
352	2	People	daughter	Tochter	dochter	figlia	filino	filia	docha	dugter	дочь
354	1	People	brother	Bruder	broer	fratello	frato	fratro	brata	brater	брат
357	1	People	sister	Schwester	zuster	sorella	fratino	fratra	sista	swes(ter)	сестра
360	3	People	marriage (spousal relationship)	Heirat	huwelijk	matrimonio	edzeco	mariteso	gama	gham	супружество
361	2	People	husband	Mann	echtgenoot	marito	edzo	marito	gamiman	mann	муж
362	2	People	wife	Frau	vrouw	moglie	edzino	marita	gamigina	esor, gvibh	жена
370	2	People	leader	Führer	chef, hoofdman	capo	estro	chefe	shefa	chef	начальник, шеф
371	2	People	member (of group/organization)	Mitglied	lid	membro	ano	membre	yuan	member	член (группы)
372	2	People	master (person who commands slaves, animals, etc)	Gebieter, Herr	heer	padrone	mastro, lordo	mastre	masta	mayster	хозяин
373	2	People	slave	Sklav	slaaf	schiavo	sklavo	sklave (-o, -a)	gulam	sclav	раб
374	1	People	friend	Freund	vriend	amico	amiko	amike (-o, -a)	amiga	prient	друг
375	2	People	enemy	Feind	vijand	nemico	malamiko	enemike	dushman	peind	враг
380	3	People	doctor (medical expert)	Doktor, Arzt	dokter, arts	dottore	kuracisto				
382	3	People	hermit	Einsiedler, Eremit	kluizenaar	eremita	ermito				
384	3	People	soldier	Soldat	soldaat	soldato	soldato	soldato	soldata	soldat	солдат
386	3	People	thief	Dieb	dief	ladro	ŝtelisto				
388	3	People	traveler, traveller	Reisende	reiziger	viaggiatore	vojaĝanto				
390	2	People	king	König	koning	re	reĝo	rego	rego	roy	король
391	2	People	queen	Königin	koningin	regina	reĝino	rega	regina	rayn	королева
392	2	People	chief (leader of a tribe)								
393	3	People	mayor	Bürgermeister [m], Bürgermeisterin [f]	burgermeester		urbestro				
395	3	People	president	Präsident	president	presidente	prezidento	presidante	presidenta	president	президент
396	3	People	prime minister	Ministerpräsident	minister-president	primo ministro	ĉefministro	primi ministre (-o, -a)	shefminista	premier (minister)	премьер-министр
397	3	People	dictator, tyrant	Diktator, Tyrann	dictator	dittatore	diktatoro, tirano	tirane (-o, -a)	diktator, tiran	dictator, tyrann	диктатор, тиран
398	3	People	ambassador	Botschafter	ambassadeur	ambasciatore	ambasadoro, ambasedestro	ambasadere	dashi, sendijen	ambassador	посол
400	2	Group	group (multiple things or persons sharing a location or activity)	Gruppe	groep	gruppo	grupo	grupe			
401	3	Group	individual (one considered separately from one's species or culture)	Individuum, Einzelner	individu	individuo	unuopulo, individuo	individu	individu	individu	индивид
420	3	Group	community (individuals sharing space / culture)	Gemeinschaft, Gemeinde	gemeenschap, bevolkingsgroep	comunità	komunumo		komunitaa	communitat	сообщество
425	3	Group	culture (the customs and beliefs of a people)	Kultur	cultuur	cultura	kulturo	kulture	kultura	culture	культура
430	3	Group	a people, folk, the members of an ethnic group / nation	Volk	volk	popolazione, nazione	popolo, gento, etnaro	popule	jenta	leuds	люди
435	3	Group	the public	Öffentlichkeit, Publikum	publiek	popolo	publiko	publikum	publika	public	публика
440	3	Group	race (group of people with shared heritage and similar characteristics)	Rasse	ras	razza, etnia	raso	rase	rasa	race	раса
445	2	Group	tribe (group of families living in proximity and having the same chief)	Stamm	stam			tribu			
450	3	Group	club (group of people who have meetings and share data about a common interest)	Klub, Club, Vereinigung	club, vereniging, sociëteit	club, società	klubo, asocio	klube	kluba	club	клуб
455	3	Group	committee (group appointed to do a task)	Komitee	comite	comitato	komitato	komite	komitee	comitee	комитет
460	2	Group	team	Mannschaft, Team	ploeg, team	squadra	teamo		tim	swoin	команда, группа
500	1	Body	body	Körper, Leib	lichaam	corpo	korpo	korpore	korpa	corp(o)s	тело
501	1	Body	head	Kopf	hoofd	testa	kapo	kape	kapa	cap	голова
502	1	Body	neck	Hals	nek	collo	kolo, nuko	kole	galsa	coll	шея
503	1	Body	back (rear portion of torso)	Rücken	rug	schiena	dorso	dorse	bey	regv	спина
504	1	Body	chest (upper front of torso)	Brust	borst	petto, torace	brusto	pektore, bruste	sina	pect	грудь
505	2	Body	abdomen	Unterleib	buik	addome	abdomeno	abdomene	duza	abdomen	живот
510	1	Body	face	Gesicht	gezicht	viso, faccia	vizaĝo	fasie	fas	lige, face	лицо
511	2	Body	forehead	Stirn	voorhoofd	fronte	frunto	fronte	frenta	chol, bruwent	лоб
512	2	Body	cheek (side of face below eye)	Backe	wang	guancia	vango	vange	wanga	gian	щека
513	2	Body	chin	Kinn	kin	mento	mentono	mentone	chibuk	mantu	подбородок
514	1	Body	ear	Ohr	oor	orecchio	orelo	orele	aur	aur	ухо
515	1	Body	eye	Auge	oog	occhio	okulo	okule	oko	ok	глаз
516	3	Body	iris (of eye)	Iris	iris	pupilla, iride	iriso	iris	iris	iris	радужка
517	2	Body	hair (a strand of fibrous material growing from the body)	Haar	haar	pelo	haro	pile (on body), hare (on head)	mao	drigh	шерсть
518	2	Body	hair (the hairs atop one's head thought of as a collective entity)	Haare	haar	capelli [plural n] {used only for human beings); pelliccia {for animals}	hararo		har	kays	волосы (на голове)
519	2	Body	beard	Bart	baard	barba	barbo	barbe	barba	berd	борода
520	1	Body	nose	Nase	neus	naso	nazo	nase	nos	nas	нос
521	1	Body	mouth	Mund	mond	bocca	buŝo	boke	muh	stohm	рот
522	1	Body	lip	Lippe	lip	labbro	lipo	labie	laba	lip	губа
523	1	Body	tongue	Zunge	tong	lingua	lango	lange, tunge	lisan	lingua, dingw	язык
524	1	Body	tooth	Zahn	tand	dente	dento	dente	denta	dent	зуб
525	2	Body	throat	Kehle	keel	gola	gorĝo	guture	gorla	gurgule	горло
530	2	Body	shoulder	Schulter	schouder	spalla	ŝultro	shultre	plecha	oms	плечо
531	1	Body	arm (shoulder to hand)	Arm	arm	braccio	brako	brakie {1928 version}, brase {1930 version}	braka	brakh	рука (до кисти)
532	2	Body	elbow	Ellbogen	elleboog	gomito	kubuto				
533	2	Body	wrist	Handgelenk	pols	polso	manartiko, manradiko		polsa	runc	запястье
534	1	Body	hand	Hand	hand	mano	mano	manu	handa	hand	кисть руки
535	1	Body	finger	Finger	vinger	dito {both of the hand and of the foot}	fingro	fingre	finga	fingher	палец
536	2	Body	thumb	Daumen	duim	pollice	dikfingro, polekso	puse	granfinga	pallex	большой палец
537	2	Body	fist	Faust	vuist	pugno	pugno	pugne	kulak	peungst	кулак
538	2	Body	nail (fingernail)	Nagel	nagel	unghia	ungo	ungle	naka	onkh	ноготь, коготь
539	2	Body	palm (of hand)	Handfläche	handpalm	palmo	manplato	palme	pama	pam	ладонь
540	1	Body	leg	Bein	been	gamba	kruro, gambo	gambe	gamba	jamb	нога
541	2	Body	knee	Knie	knie	ginocchio	genuo	genu	genu	genu	колено
542	1	Body	foot	Fuss	voet	piede	piedo	pede	peda	ped	стопа
543	1	Body	toe	Zehe	teen	dito {both of the hand and of the foot}	piedfingro	pedefingre	pedafinga	doik	палец ноги
544	2	Body	heel	Ferse	hiel	calcagno, tallone	kalkano	talone	topuk	 	пятка
550	2	Body	breast (mound of flesh culminating in a nipple on a woman)	Busen, Brust	borst	mammella, seno	mamo	mame	mam	pizd	грудь (женская)
551	2	Body	waist	Taille	middel, taille	vita	talio	talie	talia	lendv	талия
552	2	Body	hip	Hüfte	heup	anca	kokso	hanche	 	hank	бедро
553	2	Body	navel	Nabel	navel	ombelico	umbiliko	nable	nabla	nabh	пуп
554	3	Body	vagina	Vagina, Scheide	vagina	vagina	vagino		vagina	wagin	вагина
555	3	Body	penis	Penis	penis	pene	peniso		penis	penis	пенис
556	3	Body	testicle	Hode	teelbal, testikel	testicolo	testiko	testikle	testikla	orghi	яичко
557	1	Body	buttock(s)	Hinterbacken [plur]	bil	gluteo	gluteo	kule	popa	cloins	зад, ягодицы
558	3	Body	anus	After, Anus	anus	ano	anuso		anus	anus, pehzd	анус
560	1	Body	bone	Knochen, Bein	bot	"osso {two plurals: generic ""ossi"", as part of a skeleton ""ossa""}"	osto	ose	osta	ost	кость
561	3	Body	skeleton	Gerippe	skelet	scheletro	skeleto, ostaro	skelete	skelet	skeletum	скелет
562	2	Body	spine, backbone	Rückgrat, Wirbelsäule	ruggegraat	spina dorsale, colonna vertebrale	spino, vertebraro	spine	spina	spina	позвоночник
565	2	Body	blood	Blut	bloed	sangue	sango	sange	hema	sehrg	кровь
566	2	Body	feces, excrement	Kot	ontlasting, faeces	feci [plural n]	fekaĵo	feke	fek	kakwrnt	кал, экскременты
567	2	Body	sweat, perspiration	Schweiss	zweet	sudore	ŝvito	sudore	sudor	swoid	пот
568	2	Body	tear, teardrop	Träne	traan	lacrima	larmo(j)	lakrime	larma	dakru	слеза
569	2	Body	urine	Harn, Urin	urine	urina, orina	urino	urine	urina	urine	моча
570	3	Body	organ (of body)	Organ	orgaan	organo	organo	organe	organ	organ, mems	орган
571	2	Body	brain	Hirn	brein	cervello	cerbo	serebre	brein	kers	мозг
572	1	Body	heart (blood-pumping organ)	Herz	hart	cuore	koro	kordie	kordia	kerd	сердце
573	2	Body	intestines, gut(s), viscera	Darm, Gedärme	ingewanden	intestini [plural n], viscere [plural n]	intesto	intestines	antra, antratot	inster	кишка, кишечник
574	3	Body	kidney	Niere	nier	rene	reno	rene	nefra	nugver	почка (орган)
575	3	Body	liver	Leber	lever	fegato	hepato		hepata	lyekwrnt	печень
576	3	Body	lung	Lunge	long	polmone	pulmo	lung	pulmon	pulmon, lyung	лёгкое
577	2	Body	flesh	Fleisch	vlees	carne	karno	karne	masu	miems	мясо, плоть
578	2	Body	muscle	Muskel	spier	muscolo	muskolo	muskle	muskula	muscle	мускул
579	3	Body	nerve	Nerv	zenuw	nervo	nervo	nerve	nerva	nerv	нерв
580	2	Body	skin	Haut	huid	pelle	haŭto	pele	derma	cuit	кожа
581	2	Body	stomach	Magen	maag	stomaco	stomako	stomake	stomak	stomak	желудок
582	2	Body	vein	Vene	ader	vena	vejno	veine	vena	darz	вена
590	2	Body	egg	Ei	ei	uovo	ovo	ove	ovo	oiv	яйцо
591	2	Body	shell (of snail, clam, tortoise etc.)	Schale, Schneckenhaus	schaal, schulp	conchiglia, corazza	karapaco, konko	shele	shel	kiaut; squam	раковина, скорлупа
592	3	Body	feather	Feder	veer	penna	plumo	plume	pluma	ptor	перо
593	3	Body	horn (bone-like growth from animal's head)	Horn	hoorn	corno	korno	korne	korna	horn	рог
594	2	Body	tail	Schwanz	staart	coda	vosto	kaude	kauda	swayp	хвост
595	2	Body	wing (of bird etc.)	Flügel	vleugel	ala	flugilo	ale	ala	pterg	крыло
601	3	Body	gene	Gen	gen	gene	geno		gen	gene	ген
602	3	Body	fetus (foetus), embryo	Fötus	foetus	feto	feto	fete	embrio	embryo	зародыш
603	2	Body	birth	Geburt	geboorte	nascita	nasko, naskiĝo	nasko	janma	gnahsa	рождение
610	3	Body	sex (male or female status), gender	Geschecht	geslacht	sesso	sekso	sexu	sexu	sexe	пол, род
612	2	Body	female [aj]	weiblich	vrouwelijk	femmina [n]	virina, ina	femal, feminini	femina-ney	ster	женский
614	2	Body	male [aj]	männlich	mannelijk	maschio [n]	vira	maskulin(i)	maskul-ney	ner	мужской
616	3	Body	neuter (neither male nor female) [aj]	geschechtslos	onzijdig	neutro	neutra	neutri	sinsexu-ney, neutrale	neutral	бесполый, нейтральный
620	2	Body	alive [aj]	lebendig	levend	vivente, vivo	viva, vivanta	vivant	jiva-ney	gwiv	живой
621	2	Body	live (be alive) [v]	leben	leven	"essere vivo, essere in vita {""vivere"" usually means ""reside""}"	vivi [vi]	viva	jivi	gwiv	жить
625	2	Body	dead [aj]	tot	dood	morto	morta, mortinta	morit	morta-ney	mohrt	мёрвый
626	2	Body	die [v]	sterben	sterven, doodgaan	morire	morti [vi]	mori	morti	mehr	умирать
627	2	Body	kill [v]	töten	doden	uccidere	mortigi [vt]	tua	kili	xehn, neic	убивать
630	2	Body	healthy [aj]	gesund	gezond	sano	sana	san(i)	sane	saun	здоровый
631	2	Body	sick, ill [aj]	krank	ziek	malato	malsana				
632	2	Body	wound	Wunde	wond	ferita	vundo	vunde	wunda	vurnos	рана
633	3	Body	disease, illness	Krankheit	ziekte	malattia	malsano	maladeso	morba	siuge	болезнь
634	3	Body	influenza	Grippe	griep, influenza	influenza	gripo				
635	2	Body	fever	Fieber	koorts	febbre	febro	febre	febra	feber	лихорадка
640	2	Body	fat, obese	dick, fett	vet	grasso, obeso	grasa	korpulent(i)	grose	piwon	толстый, жирный
641	2	Body	skinny, thin (bodily) [aj]	mager	mager	magro	malgrasa				
645	2	Body	naked, nude [aj]	nackt	naakt	nudo	nuda, senkovra	nud(i)	nude	nogw	нагой
650	2	Body	tired, weary [aj]	müde	moe	stanco	laca	fatigat(i)	fatigi-ney	strak	усталый
651	3	Body	refreshed, perky [aj]	erfrishend	fris, verfrist	riposato	mallaca, vigla		vije	 	бодрый
652	2	Body	drunk (inebriated) [aj]	betrunken	dronken	ubriaco	ebria				
660	1	Body	sleep [v]	schlafen	slapen	dormire	dormi [vi]	dormi	somni	swehp	спать
662	2	Body	dream	Traum	droom	sogno	sonĝo	sonje	sonja (al nocha), drima (al dey)	drehm (nocts); sehgn (diens)	видеть сон; мечтать
664	2	Body	awake [aj]	wach	wakker	sveglio	maldormanta	"{would be formed from ""veka"" = to awaken [vi] or ""vekisa"" = awaken [vt]}"	jagi-she	sbud(-t/-en)	бодрствующий
665	2	Body	wake up (become awake) [vi]	aufwachen		svegliarsi	vekiĝi	veka			
701	1	Body	walk [v]	zu Fuss gehen	lopen, wandelen	camminare	piediri, promeni [vi]	marcha	pedi	ghang	идти пешком
702	1	Body	run [v]	laufen	lopen	correre	kuri [vi]	kurse	lopi	curr, drah	бежать
703	2	Body	jump, leap [v]	springen	springen	saltare	salti [vi]	salta	salti	skand	прыгать
704	2	Body	climb [v]	ersteigen	klimmen	salire (on small objects), scalare (on large objects)	grimpi	klima	klimbi	glehm	лезть
705	2	Body	crawl [v]	kriechen	kruipen	strisciare	rampi [vt]	repta	kripi	remep	ползти
706	2	Body	swim [v]	schwimmen	zwemmen	nuotare	naĝi [vi]	svima	swimi	snah	плавать
710	2	Body	breathe [v]	atmen	ademen	respirare	spiri [vt]	spira	spiri	anem	дышать
711	3	Body	sneeze [v]	niesen	niezen	starnutire	terni [vi]	sternuta	chihi	sternue	чихать
720	1	Body	eat [v]	essen	eten	mangiare	manĝi [vt]	manja	chi	edd	есть, кушать
721	1	Body	drink [v]	trinken	drinken	bere	trinki [vt]	drinka	pi	poh	пить
722	2	Body	bite [v]	beissen	bijten	mordere	mordi [vt]	morda	kusi	dehnk	кусать
723	2	Body	spit [v]	spucken	spuwen, spugen	sputare	kraĉi [vt]	sputa	spuki	spieu	плевать
724	2	Body	swallow [v]	schlucken	inzwelgen, slikken	inghiottire	gluti [vt]	gluta	gloti	sorb	глотать
725	2	Body	vomit [v]	sich erbrechen	braken, overgeven, kotsen {slang}	vomitare	vomi [vt]	vomi	vomi	vomeih	блевать
731	1	Body	stand [v]	stehen	staan	stare in piedi	stari [vi]	stea	stan	stah	стоять
733	1	Body	sit (be in a sitting position) [v]	sitzen	zitten	essere seduto, stare seduto	sidi [vi]	sida	sidi	sedd	сидеть
735	2	Body	squat [v]	hocken	hurken	accovacciarsi	kaŭri [vi]		kokori	hock	сидеть на корточках
737	1	Body	lie (recline horizontally) [v]	liegen	liggen	giacere	kuŝi [vi]	lia	lagi	lyehg	лежать
740	1	Body	cry, weep [v]	weinen	huilen	piangere	plori [vi]	plora	plaki	plang	плакать
741	2	Body	cry out, shout, yell [v]	schreien	roepen, schreeuwen	gridare	krii [vt]	klama	krai	crie	кричать
743	2	Body	laugh [v]	lachen	lachen	ridere	ridi [vi]	rida	ridi	gleih	смеяться
744	2	Body	smile [v]	lächeln	glimlachen	ridere	rideti [vi]	rideta	smaili	smeih	улыбаться
746	2	Body	dance [v]	tanzen	dansen	danzare, ballare	danci [vi]	dansa	dansi	dans	танцевать
747	3	Body	gesture [v]	Gesten machen	gebaren	gesticolare, fare gesti	gesti [vi]	gesta	jesti	motion	жестикулировать
750	2	Body	touch [v]	berühren	raken, aanraken	toccare	tuŝi [vt]	tucha	tachi	touche	трогать
751	2	Body	catch (seize in the hands) [v]	fangen	vangen	prendere, afferrare	kapti [vt]	kapta	kapti	kap	хватать
752	2	Body	hold, grasp [v]	halten	houden, vasthouden	tenere	teni [vt]	tena	teni	dehrj	держать
753	2	Body	throw [v]	werfen	werpen, gooien	gettare	ĵeti [vt]	jeta	lansi	xeubh	бросать
754	2	Body	kick [v]	stossen, treten	schoppen, trappen	dare un calcio a	piedbati [vt]		kiki	kalc	пинать
761	2	Body	kiss [v]	küssen	kussen	baciare	kisi [vt]	basia	kisi	kou	целовать
762	2	Body	copulate, have sex (with) [v]	sich paaren	paren, neuken {slang}, wippen {slang}	avere rapporti sessuali con, copulare con (learned)	koiti [vi], fiki [vt]		koiti	yehbh	совокупляться
771	2	Body	shave (scrape off beard-hairs with a blade) [v]	sich rasieren	zich scheren	radersi, radere	razi [vt]	rasa	rasi	xeur	бриться
781	2	Body	hunt (pursue with intent to capture and/or devour) [v]	jagen	jagen	cacciare, inseguire	ĉasi [vt]	chasa	shikari, goni	yagh	гнаться, преследовать, охотиться
782	2	Body	fight, combat [v]	Kampf	vechten	combattere	batali, barakti, lukti, militi	kombata, lukta	batali, luchi	combat, katue	биться, сражаться, бороться
783	3	Body	wrestle [v]	ringen	worstelen	lottare	lukti [vi]	lukta	luchi	vreikst	бороться (спорт)
791	3	Body	drown (die/kill via immersion) [v]	ertränken [vt], ertrinken [vi]	verdrinken	annegare	droni [vi]	drona [vt], bli drona	droni	khark	тонуть
792	3	Body	starve (die from lack of food) [v]								
801	3	Perception	sense (ability to perceive a given kind of stimuli)	Sinn	zintuigen	senso	senso	sensu	sens	sense	чувство (способность)
802	3	Perception	perceive (become aware of using the physical senses) [v]	wahrnehmen, bemerken	bespeuren	percepire	percepti		persepti	percep	воспринимать
810	1	Perception	see [v]	sehen	zien	vedere	vidi [vt]	vida	vidi	vid	видеть
811	2	Perception	look at (intentionally and attentively see) [v]	ansehen	kijken	guardare	rigardi				
812	3	Perception	examine, inspect [v]	prüfen	onderzoeken	esaminare	kontroli, ekzameni, inspekti	examina	examini	chehx	рассматривать
