id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Agriculture/Plant:bitter buckwheat.N	no	Fagopyrum tataricum, a domesticated plant similar to the (sweet) buckwheat.			3256			
Agriculture/Plant:bloom.V	no	To bear flowers or to start bearing flowers; to blossom.			3287			
Agriculture/Plant:blueberry.N	no	Perennial flowering plants with indigo-coloured berries from the section Cyanococcus.			2809			
Agriculture/Plant:brazil nut.N	no	Edible seed of a tree (bertholletia excelsa); used to produce medicine			3928			
Agriculture/Plant:brazilian cedar.N	no	Native Brazilian tree  (Cedrela odorata). Its wood is often used for canoes			3929			
Agriculture/Plant:broad bean.N	no	Bean of the plant Vicia faba, also known as fava bean. It is typically large, of a pale green colour, and edible.			3839			
Agriculture/Plant:buckwheat.N	no	(Fagopyrum esculentum) An annual plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour.			2040			
Agriculture/Plant:bush.N	no	A plant resembling a small tree, but has no, and will never develop, a stem.			1683			
Agriculture/Plant:cactus.N	no	A mamber of the plant family Cactaceae.			2595			
Agriculture/Plant:calabash.N	no	(Not to confuse with gourd) a plant from the family Bignoniaceae, native to tropical America. It has a form of a small tree, producing fruit of the globular shape. It is also known under the name of Crescentia cujete and its fruits are mostly used to make utensils, containers, and musical instruments.			3918			
Agriculture/Plant:carrot.N	no	Domesticated root vegetable usually orange or red in colour.			3085	8-9991		
Agriculture/Plant:cashew.N	no	A tropical evergreen tree that produces the cashew seed and the cashew apple.			2441	8-99911		
Agriculture/Plant:cassava.N	no	Shrub (Manihot esculenta) whose roots are rich in starch.	12927013	n	925	8-92		
Agriculture/Plant:cecropia.N	no	Common designation of several species of the Cecropia genus (genus Cecropia)			3931			
Agriculture/Plant:chaff (husk).N	no	The outer shell or coating of a seed.			2363			
Agriculture/Plant:chestnut tree.N	no	Any north temperate fagaceous tree of the genus Castanea, such as Castanea sativa, which produce flowers in long catkins and nuts in a prickly bur.			1009			
Agriculture/Plant:chonta palm.N	no	Species of flowering plant in the Arecaceae family, trunked palm tree which is endemic to the Juan Fernández Islands archipielago in the southeast Pacific Ocean west of Chile.			440			
Agriculture/Plant:citrus fruit.N	no	The fruits of a plant in the citrus genus. They have a leathery rind surrounding segments filled with pulp vesicles.	7747055	n	1126	8-83		
Agriculture/Plant:clove.N	no	The aromatic flower bud of a clove tree, used as a spice.			2000			
Agriculture/Plant:coca.N	no	A plant in the family Erythroxylaceae, native to western South America.			137			
Agriculture/Plant:cocoa bean.N	no	The dried and fully fermented fatty seed of Theobroma cacao, from which cocoa solids and cocoa butter are extracted.			2442			
Agriculture/Plant:coconut tree.N	no	A tropical tree with feathery leaves which bears coconuts.			147			
Agriculture/Plant:coconut.N	no	The large hard-shelled oval nut with a fibrous husk of the cocos palm.	7772935	n	970	8-82		
Agriculture/Plant:cone.N	no	The fruit of a pine or fir tree.	11682842	n	287	8-996		
Agriculture/Plant:coriander.N	no	Annual herb in the family Apiaceae.			3241			
Agriculture/Plant:corn field.N	no	A field in which corn is grown.			449			
Agriculture/Plant:corn husk.N	no	The outer covering of a corncob.			3686			
Agriculture/Plant:cornflower.N	no	A composite plant, Centaurea cyanus, having narrow leaves and blue flower heads.			1960			
Agriculture/Plant:cotton wool.N	no	The cotton-looking seeds of a cottonwood tree that are spread around by the wind during the shedding season (usually from late spring to early summer).			3442			
Agriculture/Plant:cranberry.N	no	The red and typically sour berry of several evergreen shrubs in the family Ericaceae.			3840			
Agriculture/Plant:cucumber.N	no	The edible fruit of the cucumber plant, having a green rind and crisp white flesh.			496			
Agriculture/Plant:cypress.N	no	A common name for various coniferous trees or shrubs of northern temperate regions that belong to the family Cupressaceae.			3243			
Agriculture/Plant:dandelion.N	no	A species of the genus Taraxacum, a large genus of flowering plants in the family Asteraceae.			1800			
Agriculture/Plant:date (fruit).N	no	The sweet, edible fruit of the date palm Phoenix dactylifera of the family Arecaceae.			3801			
Agriculture/Plant:dibble stick.N	no	A piece of wood with a point used for making holes in the ground for seeds, seedlings or small bulbs.			3155			
Agriculture/Plant:dig.V	no	To move earth, rocks, etc. out of the way, usually to create a hole.	1309701	v	1418	8-22	graben::V	
Agriculture/Plant:digging stick.N	no	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.			339	8-28		
Agriculture/Plant:ditch.N	no	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.	3214253	n	2002	8-17		
Agriculture/Plant:dog-rose.N	no	The dog-rose (rosa canina) is a variable climbing wild rose species native to Europe, northwest Africa and western Asia and whose fruit is known as hip.			527			
Agriculture/Plant:ear (of grain).N	no	The upper part of grain plants.			3244			
Agriculture/Plant:elm.N	no	A tall tree with broad leaves.			3317			
Agriculture/Plant:eucalypt.N	no	Tree or wood for plants with capsule fruiting bodies belonging to closely related genera found across Australia.			3007			
Agriculture/Plant:famine.N	no	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	7315790	n	199	5-141		
Agriculture/Plant:fell (a tree).V	no	To cut down a tree.			463			
Agriculture/Plant:fence.N	no	Delimitation for an area.	3327234	n	1690	8-16	Zaun::N	
Agriculture/Plant:fern.N	no	Any member of a large group of vascular plants in the family Filices who have neither flowers nor seeds.			3802			
Agriculture/Plant:field (upland).N	no	A dry field rather than a flooded paddy field.			2794			
Agriculture/Plant:field.N	no	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	8569998	n	212	8-12		
Agriculture/Plant:finger millet.N	no	Eleusine coracana, a herbaceous plant characteristic for the hability to withstand cultivation at high altitudes.			3265			
Agriculture/Plant:fir.N	no	An evergreen coniferous tree of the genus Abies.	11620673	n	1915	8-65	Tanne::N	
Agriculture/Plant:fish poison.N	no	In Amazonia, a kind of root is apparently used as fish poison.			348	8-96		
Agriculture/Plant:flax or linen.N	no	A plant with blue flowers that is cultivated for its stem to make linen or its seeds to make oil, or a material made from the fibers of the flax plant.			3462			
Agriculture/Plant:flax.N	no	A plant with blue flowers that is cultivated for its stem to make linen or its seeds to make oil.			3315			
Agriculture/Plant:floral.A	no	A design or landscape which incorporates representations of flowers.			3756			
Agriculture/Plant:forked branch.N	no	At this point a branch is forked into two or more branches.			409	8-74		
Agriculture/Plant:foxtail millet.N	no	Staria italica, an annual grass grown for human food and related to (broomcorn) millet.			3266			
Agriculture/Plant:fraxinus.N	no	Any of the trees belonging to the genus Fraxinus.			1089			
Agriculture/Plant:furrow.N	no	The cut made in a field by a plough.	3406966	n	1794	8-212		
Agriculture/Plant:garden.N	no	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	3417749	n	586	8-13		
Agriculture/Plant:garlic.N	no	A species in the onion genus, Allium.			2368			
Agriculture/Plant:gebang palm.N	no	Tree of the Corypha Utan species.			3156			
Agriculture/Plant:genipa.N	no	Either a species of trees in the family Rubiaceae native to the tropical forests of Americas or its fruit (also referred to as “genipap”). A Genipa tree typically has large smooth or hairy leaves and ovoid-shaped fruit with large and flat seeds.			3920			
Agriculture/Plant:ginger.N	no	A herbaceous perennial which grows annual stems about a meter tall bearing narrow green leaves and yellow flowers.			2500			
Agriculture/Plant:glutinous rice.N	no	A type of rice grown mainly in Southeast and East Asia and the eastern parts of South Asia, which has opaque grains, very low amylose content, and is especially sticky when cooked. Also called oryza sativa var. glutinosa, sticky rice, sweet rice or waxy rice.			2750			
Agriculture/Plant:gourd or melon.N	no	Either a gourd or a melon.			3398			
Agriculture/Plant:gourd.N	no	A plant belonging to the family Cucurbitaceae, native to tropical Africa. It represents a creeping vine, usually grown for its fruits that, as a rule, can have a variety of shapes: from rounded to globular, bottle- or club-shaped or even slim and coiled.	3449451	n	411	8-93		
Agriculture/Plant:grain.N	no	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	12141385	n	605	8-42	Korn::N	
Agriculture/Plant:granary.N	no	A building for storing threshed grain.			3657			
Agriculture/Plant:grapefruit or pomelo.N	no	The fruit of the pomelo tree, Citrus maxima, of the family Rutaceae, or the fruit of the grapefruit tree, Citrus x paradisi, a citrus hybrid which originated from crossing pomelos and oranges. Due to the recent origin of the grapefruit and the close genetic relatedness between both fruits, they are often not differentiated lexically.			3804			
Agriculture/Plant:grapevine.N	no	A climbing plant that produces grapes and belongs to the family Vitaceae.			3769			
Agriculture/Plant:grass.N	no	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	12102133	n	606	8-51	Gras::N	
Agriculture/Plant:grassland.N	no	Areas where the vegetation is dominated by grasses.			2819		Wiese::N	
